Region,Division,State,Abbrev,Year,Female,Male,Under_15,15_64,65_Over,Am_Indian,Asian,Black,White,Population,Owner,Renter,Households
3,6,Alabama,AL,1900,911933,916764,752679,1014995,54306,177,61,827307,1001152,1828697,122449,231180,370980
4,8,Arizona,AZ,1900,51136,71795,40455,77859,3328,26480,1700,1848,92903,122931,15317,10545,27817
3,7,Arkansas,AR,1900,636252,675312,543713,731333,31344,66,62,366856,944580,1311564,119827,130411,262421
4,9,California,CA,1900,664522,820531,389831,1008202,76846,15377,55904,11045,1402727,1485053,146994,162275,324690
4,8,Colorado,CO,1900,244368,295332,163147,358357,13646,1437,647,8570,529046,539700,54965,61386,122349
1,1,Connecticut,CT,1900,454126,454294,254321,602084,50850,153,617,15226,892424,908420,76855,119094,200640
3,5,Delaware,DE,1900,90577,94158,57981,117777,8468,9,52,30697,153977,184735,13641,23835,39007
3,5,District_of_Columbia,DC,1900,146714,132004,69615,197074,11734,22,462,86702,191532,278718,12998,40753,55465
3,5,Florida,FL,1900,253296,275246,204027,307861,13941,358,121,230730,297333,528542,50930,55920,113629
3,5,Georgia,GA,1900,1113130,1103201,916862,1226736,66376,19,205,1034813,1181294,2216331,129667,291447,450712
4,8,Idaho,ID,1900,68405,93367,58917,97840,4425,4226,2758,293,154495,161772,24370,9218,35819
2,3,Illinois,IL,1900,2348768,2472782,1588685,3030932,190639,16,1583,85078,4734873,4821550,451597,547369,1024189
2,3,Indiana,IN,1900,1231058,1285404,813069,1580234,117861,243,212,57505,2458502,2516462,312283,242588,567072
2,4,Iowa,IA,1900,1075004,1156849,759613,1361103,105916,382,111,12693,2218667,2231853,282760,183053,476710
2,4,Kansas,KS,1900,701779,768716,512739,894328,60373,2130,43,52003,1416319,1470495,183286,126240,319422
3,6,Kentucky,KY,1900,1056947,1090227,809142,1254131,77127,102,57,284706,1862309,2147174,218142,204009,434228
3,7,Louisiana,LA,1900,686892,694733,560646,777550,40223,593,616,650804,729612,1381625,83575,181577,281449
1,1,Maine,ME,1900,343471,350995,189333,448369,55122,798,123,1319,692226,694466,102537,55028,161588
3,5,Maryland,MD,1900,598769,589275,393546,740421,49983,3,553,235064,952424,1188044,90702,135353,239837
1,1,Massachusetts,MA,1900,1437872,1367474,767628,1885083,143107,587,3021,31974,2769764,2805346,206127,379696,604873
2,3,Michigan,MI,1900,1172077,1248905,772334,1523962,121160,6354,249,15816,2398563,2420982,330276,198078,542358
2,4,Minnesota,MN,1900,818904,932490,637801,1042720,66771,9182,217,4959,1737036,1751394,208189,118034,337284
3,6,Mississippi,MS,1900,769819,781451,650444,852558,45029,2203,237,907630,641200,1551270,102645,194637,316114
2,4,Missouri,MO,1900,1510955,1595710,1082065,1903512,112682,130,458,161234,2944843,3106665,322244,307492,646872
4,8,Montana,MT,1900,93487,149842,71130,166109,4845,11343,4180,1523,226283,243329,28563,20556,52125
2,4,Nebraska,NE,1900,501708,564592,388288,641596,34754,3322,183,6269,1056526,1066300,120705,90711,217990
4,8,Nevada,NV,1900,16732,25603,10764,28853,2268,5216,1580,134,35405,42335,6511,3134,10472
1,1,New_Hampshire,NH,1900,206209,205379,106592,271524,32344,22,113,662,410791,411588,50593,42840,96534
1,2,New_Jersey,NJ,1900,941909,941760,577518,1222755,79617,63,1445,69844,1812317,1883669,136055,259848,408993
4,8,New_Mexico,NM,1900,91082,104228,75877,112857,5846,13144,349,1610,180207,195310,29223,13118,45510
1,2,New_York,NY,1900,3654114,3614780,2111000,4798984,347905,5257,7524,99232,7156881,7268894,521537,1043800,1608170
3,5,North_Carolina,NC,1900,955133,938677,782401,1040395,66148,5687,51,624469,1263603,1893810,165222,188162,367565
2,4,North_Dakota,ND,1900,141653,177493,125492,185556,7357,6968,180,286,311712,319146,49163,11863,63360
2,3,Ohio,OH,1900,2054890,2102655,1282471,2658540,209563,42,398,96901,4060204,4157545,481592,431301,934674
3,7,Oklahoma,OK,1900,367080,423311,326180,444587,15379,64445,58,55684,670204,790391,84293,70903,161946
4,9,Oregon,OR,1900,180551,232985,126135,269994,16475,4951,12898,1105,394582,413536,50174,33745,87545
1,2,Pennsylvania,PA,1900,3097574,3204541,2040977,3987374,261817,1639,1967,156845,6141664,6302115,523843,742385,1303174
1,1,Rhode_Island,RI,1900,218040,210516,120471,287373,19798,35,379,9092,419050,428556,26009,64362,92735
3,5,South_Carolina,SC,1900,675421,664895,572277,726612,39623,121,67,782321,557807,1340316,77054,174448,267859
2,4,South_Dakota,SD,1900,185406,216164,154565,233432,12836,20225,166,465,380714,401570,56785,22610,82290
3,6,Tennessee,TN,1900,999392,1021224,783441,1162962,66441,108,79,480243,1540186,2020616,179175,206077,399017
3,7,Texas,TX,1900,1469810,1578900,1267974,1694573,74037,470,849,620722,2426669,3048710,261933,299312,582055
4,8,Utah,UT,1900,135062,141687,113350,152512,10055,2623,989,672,272465,276749,36724,17012,55208
1,1,Vermont,VT,1900,168503,175138,94877,220130,27771,5,39,826,342771,343641,47751,31014,80559
3,5,Virginia,VA,1900,928287,925897,710520,1066930,72846,354,253,660722,1192855,1854184,170574,177087,360749
4,9,Washington,WA,1900,213925,304178,157899,339264,14681,10039,9246,2514,496304,518103,57204,45113,107171
3,5,West_Virginia,WV,1900,459558,499242,367883,554894,32236,12,56,43499,915233,958800,98469,80759,183780
2,3,Wisconsin,WI,1900,1001480,1067562,739998,1223096,103192,8372,217,2542,2057911,2069042,274010,137009,420327
4,8,Wyoming,WY,1900,34347,58184,28312,62585,1407,1686,854,940,89051,92531,9674,7388,18632
3,6,Alabama,AL,1910,1063884,1074209,849714,1218923,65363,909,70,908282,1228832,2138093,154716,285722,454767
4,8,Arizona,AZ,1910,85780,118574,64786,133137,5794,29201,1676,2009,171468,204354,22712,23408,47927
3,7,Arkansas,AR,1910,764423,810026,620241,906960,44898,460,72,442891,1131026,1574449,151002,173251,333368
4,9,California,CA,1910,1054571,1322978,543796,1700129,125263,16371,79861,21645,2259672,2377549,270379,275723,563636
4,8,Colorado,CO,1910,368327,430697,227866,542082,26727,1482,2674,11453,783415,799024,96728,90929,194467
1,1,Connecticut,CT,1910,551114,563642,309002,744699,59588,152,533,15174,1098897,1114756,90457,151960,246659
3,5,Delaware,DE,1910,98887,103435,58550,132942,10465,5,34,31181,171102,202322,17794,25951,44951
3,5,District_of_Columbia,DC,1910,173019,158050,76630,236187,17017,68,427,94446,236128,331069,17375,51607,71339
3,5,Florida,FL,1910,358453,394166,268216,459459,21797,74,242,308669,443634,752619,72027,90806,171422
3,5,Georgia,GA,1910,1304102,1305019,1039227,1485021,80729,95,237,1176987,1431802,2609121,164116,373887,553264
4,8,Idaho,ID,1910,140048,185546,108478,207071,8940,3488,2234,651,319221,325594,47045,22035,73669
2,3,Illinois,IL,1910,2726917,2911674,1665812,3714530,243374,188,2392,109049,5526962,5638591,545999,693083,1264717
2,3,Indiana,IN,1910,1317581,1383295,796039,1751856,149474,279,316,60320,2639961,2700876,352295,290727,654891
2,4,Iowa,IA,1910,1076600,1148171,687062,1408558,125400,471,136,14973,2209191,2224771,292951,208344,512515
2,4,Kansas,KS,1910,805037,885912,537696,1061521,87956,2444,123,54030,1634352,1690949,228504,157817,395771
3,6,Kentucky,KY,1910,1128196,1161709,820166,1372518,94124,234,64,261656,2027951,2289905,251059,235433,494788
3,7,Louisiana,LA,1910,821113,835275,636603,965066,49733,780,648,713874,941086,1656388,106953,225433,344144
1,1,Maine,ME,1910,365319,377052,203066,477015,61072,892,121,1363,739995,742371,109298,65523,177960
3,5,Maryland,MD,1910,651121,644225,401001,832271,60667,55,402,232250,1062639,1295346,117297,149201,274824
1,1,Massachusetts,MA,1910,1711168,1655248,908692,2279274,175015,688,2747,38055,3324926,3366416,240445,484932,734013
2,3,Michigan,MI,1910,1355639,1454534,832401,1817806,156519,7519,292,17115,2785247,2810173,398616,247152,657418
2,4,Minnesota,MN,1910,967197,1108511,661475,1323178,86057,9053,344,7084,2059227,2075708,251092,154340,416452
3,6,Mississippi,MS,1910,891354,905760,723848,1014592,54338,1253,263,1009487,786111,1797114,127157,247106,384724
2,4,Missouri,MO,1910,1605522,1687813,1022926,2112659,150253,313,638,157452,3134932,3293335,374461,358514,749812
4,8,Montana,MT,1910,149181,226872,102188,261909,9085,10745,2894,1834,360580,376053,48757,32511,86602
2,4,Nebraska,NE,1910,564432,627782,389964,749510,50771,3502,730,7689,1180293,1192214,153155,106099,265549
4,8,Nevada,NV,1910,29324,52551,16989,61242,3120,5240,1846,513,74276,81875,11925,10421,23677
1,1,New_Hampshire,NH,1910,214282,216290,112725,283115,34070,34,68,564,429906,430572,52052,49549,103156
1,2,New_Jersey,NJ,1910,1250704,1286463,737916,1689408,107087,168,1345,89760,2445894,2537167,191177,355076,558202
4,8,New_Mexico,NM,1910,152056,175245,120719,196402,9686,20573,506,1628,304594,327301,54537,22704,78883
1,2,New_York,NY,1910,4529017,4584597,2488621,6195752,418155,6046,6532,134191,8966845,9113614,622125,1387900,2046845
3,5,North_Carolina,NC,1910,1107811,1098476,893656,1231275,77688,7851,82,697843,1500511,2206287,203552,227239,440334
2,4,North_Dakota,ND,1910,259502,317554,211718,350841,12898,6486,98,617,569855,577056,87641,28123,120910
2,3,Ohio,OH,1910,2332363,2434758,1343976,3155032,261810,127,645,111452,4654897,4767121,574085,545519,1138165
3,7,Oklahoma,OK,1910,775577,881578,645748,967245,41045,74825,187,137612,1444531,1657155,154571,186109,351167
4,9,Oregon,OR,1910,288500,384265,172910,469977,28153,5090,11093,1492,655090,672765,87688,58279,151858
1,2,Pennsylvania,PA,1910,3722905,3942206,2368926,4959478,325918,1503,1976,193919,7467713,7665111,662091,929256,1630628
1,1,Rhode_Island,RI,1910,272296,270314,149559,367168,25020,284,305,9529,532492,542610,32849,83134,117976
3,5,South_Carolina,SC,1910,763558,751842,629645,839292,44092,331,65,835843,679161,1515400,93757,210904,315204
2,4,South_Dakota,SD,1910,266776,317112,200443,362784,19288,19137,163,817,563771,583888,86539,40302,131060
3,6,Tennessee,TN,1910,1081298,1103491,806938,1290757,83464,216,53,473088,1711432,2184789,213125,240515,462553
3,7,Texas,TX,1910,1878916,2017626,1504430,2273275,110801,702,943,690049,3204848,3896542,350176,425770,798426
4,8,Utah,UT,1910,176488,196863,138643,221040,12369,3123,2501,1144,366583,373351,48131,26144,77339
1,1,Vermont,VT,1910,173388,182568,98279,228206,29262,26,11,1621,354298,355956,49489,35112,85178
3,5,Virginia,VA,1910,1026264,1035348,762878,1210976,84981,539,168,671096,1389809,2061612,211322,198860,419452
4,9,Washington,WA,1910,483327,658663,301236,797387,36573,10997,15824,6058,1109111,1141990,140367,104471,254692
3,5,West_Virginia,WV,1910,577075,644044,448324,728659,42192,36,93,64173,1156817,1221119,120583,123068,248480
2,3,Wisconsin,WI,1910,1125282,1208578,750203,1462660,118637,10142,263,2900,2320555,2333860,316578,173787,499629
4,8,Wyoming,WY,1910,54295,91670,39209,103707,2796,1486,1926,2235,140318,145965,16961,14159,32092
3,6,Alabama,AL,1920,1175069,1173105,917165,1344804,83498,405,85,900652,1447032,2348174,172363,319756,508769
4,8,Arizona,AZ,1920,150560,183602,111374,211786,9977,32989,1719,8005,291449,334162,33075,44163,80208
3,7,Arkansas,AR,1920,856976,895228,670770,1017658,62092,106,121,472220,1279757,1752204,171253,208491,390960
4,9,California,CA,1920,1613270,1813591,815282,2401859,200301,17360,106027,38763,3264711,3426861,382834,493177,900232
4,8,Colorado,CO,1920,446898,492731,281358,609554,41063,1383,2825,11318,924103,939629,116781,109501,230843
1,1,Connecticut,CT,1920,685296,695335,414825,895876,68517,159,694,21046,1358732,1380631,115181,190964,311610
3,5,Delaware,DE,1920,109248,113755,64287,145592,12402,2,51,30335,192615,223003,22829,28287,52070
3,5,District_of_Columbia,DC,1920,234028,203543,90092,324955,20635,37,708,109966,326860,437571,28503,65654,96194
3,5,Florida,FL,1920,473150,495320,322994,602099,40664,518,312,329487,638153,968470,94990,128678,234133
3,5,Georgia,GA,1920,1451009,1444823,1110914,1679867,102111,125,228,1206365,1689114,2895832,188185,421047,628525
4,8,Idaho,ID,1920,197947,233919,152412,264276,14839,3098,2180,920,425668,431866,59208,38013,100500
2,3,Illinois,IL,1920,3180447,3304833,1895667,4283042,297647,194,3479,182274,6299333,6485280,658260,846071,1534077
2,3,Indiana,IN,1920,1441316,1489074,848576,1894289,183695,125,384,80810,2849071,2930390,395402,326192,737707
2,4,Iowa,IA,1920,1174629,1229392,718667,1537525,144392,529,306,19005,2384181,2404021,332567,239880,586070
2,4,Kansas,KS,1920,860036,909221,551843,1109930,104747,2276,150,57925,1708906,1769257,241456,182784,435600
3,6,Kentucky,KY,1920,1189136,1227494,850433,1450507,113772,57,75,235938,2180560,2416630,275993,258643,546306
3,7,Louisiana,LA,1920,895174,903335,651670,1083071,59443,1066,575,700257,1096611,1798509,126410,248802,389913
1,1,Maine,ME,1920,379262,388752,216772,488246,62101,839,170,1310,765695,768014,108829,73860,186106
3,5,Maryland,MD,1920,720206,729455,430579,945123,72468,32,413,244479,1204737,1449661,159262,160219,324742
1,1,Massachusetts,MA,1920,1962342,1890014,1079125,2563652,206447,555,2811,45466,3803524,3852356,301245,564097,874798
2,3,Michigan,MI,1920,1739976,1928436,1099259,2374449,190972,5614,1089,60082,3601627,3668412,499471,349054,862745
2,4,Minnesota,MN,1920,1141588,1245537,743954,1529752,110766,8761,619,8809,2368936,2387125,312367,202222,526026
3,6,Mississippi,MS,1920,893494,897124,687972,1032669,66708,1105,367,935184,853962,1790618,132900,257971,403198
2,4,Missouri,MO,1920,1680736,1723319,1001405,2212937,185502,171,599,178241,3225044,3404055,401667,409068,829043
4,8,Montana,MT,1920,248948,299941,178773,351371,16808,10956,2015,1658,534260,548889,81840,53362,139912
2,4,Nebraska,NE,1920,623567,672805,415928,813557,64341,2888,1023,13242,1279219,1296372,169098,125713,303436
4,8,Nevada,NV,1920,31167,46240,19212,54407,3473,4907,1455,346,70699,77407,9938,10940,21862
1,1,New_Hampshire,NH,1920,220971,222112,119944,287137,35210,28,103,621,442331,443083,52778,53159,108334
1,2,New_Jersey,NJ,1920,1565825,1590075,952890,2066968,133481,100,1581,117132,3037087,3155900,271914,438911,721841
4,8,New_Mexico,NM,1920,169894,190456,133680,213971,12244,19512,432,5733,334673,360350,48152,32907,83706
1,2,New_York,NY,1920,5197877,5187350,2884859,6995306,493097,5503,9214,198483,10172027,10385227,738738,1670088,2441125
3,5,North_Carolina,NC,1920,1280061,1279062,1033307,1423891,98716,11824,113,763407,1783779,2559123,235842,261303,513377
2,4,North_Dakota,ND,1920,305199,341673,251421,374835,19324,6254,197,467,639954,646872,84904,45050,134881
2,3,Ohio,OH,1920,2803414,2955980,1643267,3792778,319437,151,1163,186187,5571893,5759394,719097,673858,1414068
3,7,Oklahoma,OK,1920,970239,1058044,761769,1198461,64772,57337,344,149408,1821194,2028283,193840,231813,444524
4,9,Oregon,OR,1920,367055,416334,213416,526536,42583,4590,7509,2144,769146,783389,108772,89588,202890
1,2,Pennsylvania,PA,1920,4290997,4429020,2802436,5515655,394303,337,2386,284568,8432726,8720017,853471,1035534,1922114
1,1,Rhode_Island,RI,1920,306873,297524,174445,399469,30190,110,271,10036,593980,604397,41921,92800,137160
3,5,South_Carolina,SC,1920,845431,838293,687448,941565,53375,304,163,864719,818538,1683724,108179,227657,349126
2,4,South_Dakota,SD,1920,299427,337120,220862,388702,25536,16384,184,832,619147,636547,84712,53099,142793
3,6,Tennessee,TN,1920,1163918,1173967,843560,1390982,101189,56,78,451758,1885993,2337885,241875,264982,519108
3,7,Texas,TX,1920,2254006,2409222,1651713,2837979,163046,2109,1260,741694,3918165,4663228,421875,563597,1017413
4,8,Utah,UT,1920,217345,232051,169492,263560,15883,2711,3338,1446,441901,449396,57985,38598,98346
1,1,Vermont,VT,1920,173574,178854,100541,221817,29694,24,15,572,351817,352428,48370,35706,85804
3,5,Virginia,VA,1920,1140695,1168492,826312,1379829,100008,824,437,690017,1617909,2309187,242062,231563,483363
4,9,Washington,WA,1920,621920,734701,372245,919378,60211,9061,20900,6883,1319777,1356621,183322,151513,342228
3,5,West_Virginia,WV,1920,700601,763100,544453,860322,56140,7,114,86345,1377235,1463701,141362,160528,310098
2,3,Wisconsin,WI,1920,1275349,1356718,822207,1666599,140406,9611,317,5201,2616938,2632067,371822,212464,595316
4,8,Wyoming,WY,1920,84043,110359,60867,127671,4989,1343,1538,1375,190146,194402,24060,22271,48476
3,6,Alabama,AL,1930,1331239,1315009,949035,1596704,99240,465,105,944834,1700844,2646248,198472,381466,591625
4,8,Arizona,AZ,1930,204269,231304,143405,275875,15768,43726,2547,10749,378551,435573,45808,56380,105992
3,7,Arkansas,AR,1930,914639,939843,645550,1132554,75600,408,296,478463,1375315,1854482,168767,251897,438639
4,9,California,CA,1930,2734656,2942595,1294887,4002500,366125,19212,168731,81048,5408260,5677251,726072,848888,1610030
4,8,Colorado,CO,1930,505039,530752,299390,673913,61787,1395,3775,11828,1018793,1035791,131571,127979,267324
1,1,Connecticut,CT,1930,805600,801303,445475,1067172,93319,162,687,29354,1576700,1606903,171202,213445,388645
3,5,Delaware,DE,1930,117123,121257,64218,157346,16678,5,55,32602,205718,238380,30187,27804,59092
3,5,District_of_Columbia,DC,1930,254986,231883,100640,357194,27253,40,780,132068,353981,486869,47220,75254,125554
3,5,Florida,FL,1930,730536,737675,436840,958932,71202,587,406,431828,1035390,1468211,153956,212740,376499
3,5,Georgia,GA,1930,1473979,1434527,1009174,1784210,113278,43,317,1071125,1837021,2908506,194459,440011,652793
4,8,Idaho,ID,1930,207685,237347,145724,276784,22310,3638,1886,668,438840,445032,59584,44996,108044
2,3,Illinois,IL,1930,3757197,3873457,1980797,5221401,421073,469,5946,328972,7295267,7630654,882999,1017115,1929396
2,3,Indiana,IN,1930,1598442,1640061,897005,2106442,232787,285,458,111982,3125778,3238503,474196,353807,843066
2,4,Iowa,IA,1930,1215838,1255101,699060,1586398,184239,660,222,17380,2452677,2470939,340778,282607,635704
2,4,Kansas,KS,1930,919708,961291,542471,1208341,129468,2454,204,66344,1811997,1880999,267115,210106,487188
3,6,Kentucky,KY,1930,1291796,1322793,889335,1581744,142122,22,75,226040,2388452,2614589,306284,290379,609405
3,7,Louisiana,LA,1930,1053770,1047823,706356,1318582,75850,1536,1019,776326,1322712,2101593,165731,307273,485363
1,1,Maine,ME,1930,396138,401285,228825,498997,69010,1012,130,1096,795185,797423,119898,74358,197826
3,5,Maryland,MD,1930,810517,821009,459898,1074850,92972,50,871,276379,1354226,1631526,208563,169359,385179
1,1,Massachusetts,MA,1930,2177942,2071672,1127300,2845071,274195,874,3383,52365,4192992,4249614,439238,569645,1021160
